sample_id,material,N,R,segment,T_low_K,T_high_K,T_mid_K,Ea_eV,r_squared
S8-3-4-1,S8,3.3986666666666667,0.06412142500696691,1,249.10000000000002,300.0,274.55,0.09379419414044222,0.9161488162063571
S8-3-4-1,S8,3.3986666666666667,0.06412142500696691,2,198.3,240.75,219.525,0.6035222890008569,0.9789940822711269
S8-3-5-1,S8,4.532666666666667,0.6367153877711904,1,241.25,300.0,270.625,0.1890772675116994,0.9265618553029633
S8-3-5-1,S8,4.532666666666667,0.6367153877711904,2,185.39999999999998,232.95,209.17499999999998,0.7724973568531761,0.962332276744885
S8-3-6-1,S8,4.566933333333333,0.3797497505181546,1,265.9,300.0,282.95,0.11174773246310307,0.9492505442868517
S8-3-6-1,S8,4.566933333333333,0.3797497505181546,2,226.83333333333331,260.3,243.56666666666666,0.3046786813668551,0.995205417100093
S8-3-6-1,S8,4.566933333333333,0.3797497505181546,3,188.96666666666667,221.3,205.13333333333333,0.6858490953266501,0.9895814728134308
S8-3-6-2,S8,4.566933333333333,0.3797497505181546,1,277.6166666666667,300.0,288.80833333333334,0.13755123718115736,0.9764942693021219
S8-3-6-2,S8,4.566933333333333,0.3797497505181546,2,252.68333333333334,274.8333333333333,263.7583333333333,0.25546456478915913,0.9963439943072854
S8-3-6-2,S8,4.566933333333333,0.3797497505181546,3,219.58333333333331,249.93333333333334,234.75833333333333,0.44501757376433326,0.9912115784771808
S8-3-6-2,S8,4.566933333333333,0.3797497505181546,4,178.95,216.38333333333333,197.66666666666666,1.0317728029170605,0.98832362950918
S8-3-6-3,S8,4.566933333333333,0.3797497505181546,1,232.2,300.0,266.1,0.16666880919844237,0.9358592420823061
S8-3-6-3,S8,4.566933333333333,0.3797497505181546,2,176.25,223.9,200.075,0.7322958903366379,0.9513286498341753
S8-3-7-1,S8,5.838000000000001,0.3865699438677832,1,285.8666666666667,300.0,292.93333333333334,0.17348037022326862,0.8901433060427565
S8-3-7-1,S8,5.838000000000001,0.3865699438677832,2,232.91666666666669,280.3,256.60833333333335,0.23460701209354687,0.9663426248811416
S8-3-7-1,S8,5.838000000000001,0.3865699438677832,3,210.38333333333333,224.63333333333333,217.50833333333333,0.463219018677309,0.9890077154636483
S8-3-7-1,S8,5.838000000000001,0.3865699438677832,4,185.13333333333333,207.18333333333334,196.15833333333333,0.9561573155023959,0.9890224242434341
S8-3-7-2,S8,5.838000000000001,0.3865699438677832,1,187.25,300.0,243.625,0.379311056531261,0.905697692074764
S8-3-8-2,S8,7.005600000000001,0.38656994386778326,1,274.53333333333336,300.0,287.26666666666665,0.07039750505638219,0.9472989721388931
S8-3-8-2,S8,7.005600000000001,0.38656994386778326,2,251.76666666666665,271.6666666666667,261.7166666666667,0.19274813743653887,0.9902508992959408
S8-3-8-2,S8,7.005600000000001,0.38656994386778326,3,218.5,248.96666666666667,233.73333333333335,0.4377917981526663,0.9923644430320412
S8-3-8-2,S8,7.005600000000001,0.38656994386778326,4,179.76666666666665,215.75,197.75833333333333,1.1471332380519896,0.9790980018586566
S8-3-9-2,S8,4.2860000000000005,0.29412726488993274,1,258.01666666666665,300.0,279.0083333333333,0.18205699427712804,0.9774032407236289
S8-3-9-2,S8,4.2860000000000005,0.29412726488993274,2,241.43333333333334,255.26666666666665,248.35,0.3291335327043417,0.9981181587101248
S8-3-9-2,S8,4.2860000000000005,0.29412726488993274,3,224.8,238.56666666666666,231.68333333333334,0.43402574669942817,0.9993843139218052
S8-3-9-2,S8,4.2860000000000005,0.29412726488993274,4,185.6,222.05,203.825,0.8903307895735086,0.9843532856762718
S8-3-9-3,S8,4.2860000000000005,0.29412726488993274,1,268.68333333333334,300.0,284.3416666666667,0.07961200612174245,0.9886606344113253
S8-3-9-3,S8,4.2860000000000005,0.29412726488993274,2,246.2,265.85,256.025,0.16388442251861732,0.9941004905630519
S8-3-9-3,S8,4.2860000000000005,0.29412726488993274,3,210.21666666666667,243.4,226.80833333333334,0.3483922082358694,0.9902031222366506
S8-3-9-3,S8,4.2860000000000005,0.29412726488993274,4,167.76666666666668,207.48333333333335,187.625,0.9000370775570703,0.9844219992816652
