row_id,sample_id,valid_sigma,valid_temperature,valid_geometry,valid_eis,flags
478,S8-3-23-2-1,True,True,True,True,[]
479,S8-3-23-2-1,True,True,True,True,[]
480,S8-3-23-2-1,True,True,True,True,[]
481,S8-3-23-2-1,True,True,True,True,[]
482,S8-3-23-2-1,True,True,True,True,[]
483,S8-3-23-2-1,True,True,True,True,[]
484,S8-3-23-2-1,True,True,True,True,[]
485,S8-3-23-2-1,True,True,True,True,[]
486,S8-3-23-2-1,True,True,True,True,[]
487,S8-3-23-2-1,True,True,True,True,[]
488,S8-3-23-2-1,True,True,True,True,[]
489,S8-3-23-2-1,True,True,True,True,[]
490,S8-3-23-2-1,True,True,True,True,[]
491,S8-3-23-2-1,True,True,True,True,[]
492,S8-3-23-2-1,True,True,True,True,[]
493,S8-3-23-2-1,True,True,True,True,[]
494,S8-3-23-2-1,True,True,True,True,[]
495,S8-3-23-2-1,True,True,True,True,[]
496,S8-3-23-2-1,True,True,True,True,[]
497,S8-3-23-2-1,True,True,True,True,[]
498,S8-3-23-2-1,True,True,True,True,[]
499,S8-3-23-2-1,True,True,True,True,[]
500,S8-3-25-1-1,True,True,True,True,[]
501,S8-3-25-1-1,True,True,True,True,[]
502,S8-3-25-1-1,True,True,True,True,[]
503,S8-3-25-1-1,True,True,True,True,[]
504,S8-3-25-1-1,True,True,True,True,[]
505,S8-3-25-1-1,True,True,True,True,[]
506,S8-3-25-1-1,True,True,True,True,[]
507,S8-3-25-1-1,True,True,True,True,[]
508,S8-3-25-1-1,True,True,True,True,[]
509,S8-3-25-1-1,True,True,True,True,[]
510,S8-3-25-1-1,True,True,True,True,[]
511,S8-3-25-1-1,True,True,True,True,[]
512,S8-3-25-1-1,True,True,True,True,[]
513,S8-3-25-1-1,True,True,True,True,[]
514,S8-3-25-1-1,True,True,True,True,[]
515,S8-3-25-1-1,True,True,True,True,[]
516,S8-3-25-1-1,True,True,True,True,[]
517,S8-3-25-1-1,True,True,True,True,[]
518,S8-3-25-1-1,True,True,True,True,[]
519,S8-3-25-1-1,True,True,True,True,[]
520,S8-3-25-1-1,True,True,True,True,[]
521,S8-3-25-1-1,True,True,True,True,[]
522,S8-3-25-1-1,True,True,True,True,[]
523,S8-3-25-1-1,True,True,True,True,[]
524,S8-3-25-1-1,True,True,True,True,[]
525,S8-3-25-1-1,True,True,True,True,[]
526,S8-3-25-1-1,True,True,True,True,[]
527,S8-3-25-1-1,True,True,True,True,[]
528,S8-3-25-1-1,True,True,True,True,[]
529,S8-3-25-1-1,True,True,True,True,[]
530,S8-3-25-1-1,True,True,True,True,[]
531,S8-3-25-1-1,True,True,True,True,[]
532,S8-3-25-1-1,True,True,True,True,[]
533,S8-3-27-1-1,True,True,True,True,[]
534,S8-3-27-1-1,True,True,True,True,[]
535,S8-3-27-1-1,True,True,True,True,[]
536,S8-3-27-1-1,True,True,True,True,[]
537,S8-3-27-1-1,True,True,True,True,[]
538,S8-3-27-1-1,True,True,True,True,[]
539,S8-3-27-1-1,True,True,True,True,[]
540,S8-3-27-1-1,True,True,True,True,[]
541,S8-3-27-1-1,True,True,True,True,[]
542,S8-3-27-1-1,True,True,True,True,[]
543,S8-3-27-1-1,True,True,True,True,[]
544,S8-3-28-1-1,True,True,True,True,[]
545,S8-3-28-1-1,True,True,True,True,[]
546,S8-3-28-1-1,True,True,True,True,[]
547,S8-3-28-1-1,True,True,True,True,[]
548,S8-3-28-1-1,True,True,True,True,[]
549,S8-3-28-1-1,True,True,True,True,[]
550,S8-3-28-1-1,True,True,True,True,[]
551,S8-3-28-1-1,True,True,True,True,[]
552,S8-3-28-1-1,True,True,True,True,[]
553,S8-3-28-1-1,True,True,True,True,[]
554,S8-3-28-1-1,True,True,True,True,[]
555,S8-3-28-1-1,True,True,True,True,[]
556,S8-3-28-1-1,True,True,True,True,[]
557,S8-3-28-1-1,True,True,True,True,[]
558,S8-3-28-1-1,True,True,True,True,[]
559,S8-3-28-1-1,True,True,True,True,[]
560,S8-3-28-1-1,True,True,True,True,[]
561,S8-3-28-1-1,True,True,True,True,[]
562,S8-3-28-1-1,True,True,True,True,[]
563,S8-3-28-1-1,True,True,True,True,[]
564,S8-3-28-1-1,True,True,True,True,[]
565,S8-3-28-1-1,True,True,True,True,[]
566,S8-3-28-1-1,True,True,True,True,[]
567,S8-3-28-1-1,True,True,True,True,[]
568,S8-3-28-1-1,True,True,True,True,[]
569,S8-3-28-1-1,True,True,True,True,[]
570,S8-3-28-1-1,True,True,True,True,[]
571,S8-3-28-1-1,True,True,True,True,[]
572,S8-3-28-1-1,True,True,True,True,[]
573,S8-3-28-1-1,True,True,True,True,[]
574,S8-3-28-1-1,True,True,True,True,[]
575,S8-3-28-1-1,True,True,True,True,[]
576,S8-3-29-1-1,True,True,True,True,[]
577,S8-3-29-1-1,True,True,True,True,[]
578,S8-3-29-1-1,True,True,True,True,[]
579,S8-3-29-1-1,True,True,True,True,[]
580,S8-3-29-1-1,True,True,True,True,[]
581,S8-3-29-1-1,True,True,True,True,[]
582,S8-3-29-1-1,True,True,True,True,[]
583,S8-3-29-1-1,True,True,True,True,[]
584,S8-3-29-1-1,True,True,True,True,[]
585,S8-3-29-1-1,True,True,True,True,[]
586,S8-3-29-1-1,True,True,True,True,[]
587,S8-3-3-1,True,True,True,True,[]
588,S8-3-3-1,True,True,True,True,[]
589,S8-3-3-1,True,True,True,True,[]
590,S8-3-3-1,True,True,True,True,[]
591,S8-3-3-1,True,True,True,True,[]
592,S8-3-3-1,True,True,True,True,[]
593,S8-3-3-1,True,True,True,True,[]
594,S8-3-3-1,True,True,True,True,[]
595,S8-3-3-1,True,True,True,True,[]
596,S8-3-3-1,True,True,True,True,[]
597,S8-3-3-1,True,True,True,True,[]
598,S8-3-3-1,True,True,True,True,[]
599,S8-3-3-1,True,True,True,True,[]
600,S8-3-31-1-1,True,True,True,True,[]
601,S8-3-31-1-1,True,True,True,True,[]
602,S8-3-31-1-1,True,True,True,True,[]
603,S8-3-31-1-1,True,True,True,True,[]
604,S8-3-31-1-1,True,True,True,True,[]
605,S8-3-31-1-1,True,True,True,True,[]
